zone_id,name,subprefecture,demand_multiplier,surge_sensitivity,centroid_latitude,centroid_longitude
SLU,SAO LUCAS,VILA PRUDENTE,0.9,1.3,-23.594549,-46.543615
SMI,SAO MIGUEL,SAO MIGUEL,0.8,1.4,-23.499279,-46.442289
SMT,SAO MATEUS,SAO MATEUS,0.7,1.4,-23.600807,-46.482363
SOC,SOCORRO,CAPELA DO SOCORRO,0.7,1.4,-23.682468,-46.714123
SRA,SAO RAFAEL,SAO MATEUS,0.7,1.4,-23.627255,-46.457646
STN,SANTANA,SANTANA-TUCURUVI,1.1,1.2,-23.500605,-46.632580
TAT,TATUAPE,MOOCA,1.2,1.1,-23.538924,-46.565886
TRE,TREMEMBE,JACANA-TREMEMBE,0.8,1.3,-23.416170,-46.588840
TUC,TUCURUVI,SANTANA-TUCURUVI,1.1,1.2,-23.476599,-46.606517
VAN,VILA ANDRADE,CAMPO LIMPO,0.8,1.4,-23.627002,-46.729418
VCR,VILA CURUCA,ITAIM PAULISTA,0.7,1.5,-23.509047,-46.417388
VFO,VILA FORMOSA,ARICANDUVA-FORMOSA-CARRAO,1.0,1.2,-23.568552,-46.546564
VGL,VILA GUILHERME,VILA MARIA-VILA GUILHERME,1.0,1.2,-23.508855,-46.605007
VJA,VILA JACUI,SAO MIGUEL,0.8,1.4,-23.501283,-46.462792
VLE,VILA LEOPOLDINA,LAPA,1.4,1.0,-23.529351,-46.733857
VMD,VILA MEDEIROS,VILA MARIA-VILA GUILHERME,1.0,1.2,-23.491128,-46.579421
VMN,VILA MARIANA,VILA MARIANA,1.6,1.0,-23.586110,-46.637288
VMR,VILA MARIA,VILA MARIA-VILA GUILHERME,1.0,1.2,-23.513492,-46.577064
VMT,VILA MATILDE,PENHA,1.0,1.2,-23.541075,-46.519306
VPR,VILA PRUDENTE,VILA PRUDENTE,0.9,1.3,-23.590729,-46.574036
VSO,VILA SONIA,BUTANTA,1.4,1.0,-23.599564,-46.741512
